Trainee [name=Mike, major=Gaming and Simulation, experience=5]
Trainee [name=Karim, major=Mechanical Engineering, experience=3]
Trainee [name=Victor, major=Aerospace Engineering, experience=6]
Trainee [name=Shaun, major=Information Systems, experience=1]
Trainee [name=Jeff, major=Economics, experience=5]
Trainee [name=Loi, major=Computer Science, experience=0]
Trainee [name=Dan Pickles, major=IT, experience=1000]
Trainee [name=Dan Pickles, major=IT, experience=1000]
Trainee [name=Dan Pickles, major=IT, experience=1000]
Trainee [name=Dan Pickles, major=IT, experience=1000]
Trainee [name=Dan Pickles, major=IT, experience=1000]
